Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;3;18;121;2;6;0;0;28.08.2015;29.08.2015;601;vlastní dítě;0;nic;0;nic;0;195;1;;;;;;01.01.2016;14.04.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;131;2;6;3;8;15.02.2016;02.01.1900;620;bez vztahu;24;valuty a devizy - bankovky;0;nic;11773;173;1;;;;;;15.02.2016;01.04.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;131;1;6;0;0;13.02.2016;02.01.1900;620;bez vztahu;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;5500;173;1;;;;;;13.02.2016;02.05.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;11;131;2;6;0;0;01.03.2016;01.03.2016;620;bez vztahu;152;svrchní oblečení;0;nic;7781;173;1;;;;;;02.03.2016;09.09.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;131;1;6;0;0;12.05.2016;13.05.2016;620;bez vztahu;21;peníze;0;nic;0;173;1;;;;;;13.05.2016;21.09.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;131;1;6;0;0;08.03.2016;02.01.1900;620;bez vztahu;21;peníze;11;občanské průkazy;4000;173;1;;;;;;09.03.2016;09.06.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;11;131;1;6;0;0;01.08.2016;01.08.2016;620;bez vztahu;21;peníze;70;mobilní telefony;4800;173;1;;;;;;01.08.2016;13.09.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;131;1;6;0;0;12.07.2016;02.01.1900;620;bez vztahu;163;obuv a obuvnický materiál;21;peníze;750;173;1;;358;1;;;12.07.2016;18.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;131;1;5;0;0;19.07.2016;02.01.1900;620;bez vztahu;162;Kufry, aktovky, kabelky, peněženky, pásky;70;mobilní telefony;3290;173;1;;;;;;19.07.2016;19.07.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;131;1;6;0;0;28.09.2016;02.01.1900;620;bez vztahu;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;12521;173;1;;234;1;;;28.09.2016;22.12.2016;5;odloženo podle § 159a/5 tr. řádu
